0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,84203102,87146152,86247067,91241037,85189085,98245050,89255068,83164168,83240068,87252082,93246055,99255045,98255047,95255069,88255046,88255045
1,86255071,82255022,93255055,95244023,96255024,92255015,98255025,92247064,95255060,95255055,89255073,93255094,94255057,91255055,89255046,92255064
1,85239078,86255021,92250055,100245026,94247033,99255019,96237028,93247062,92255061,94255061,89255082,92255080,95240067,93251061,91250052,91237071
1,92255082,80203136,87249043,59157188,79224140,96255050,96252073,96247067,94255097,84253162,83252152,91255115,91249132,90255105,92255107,98255112
1,90255062,92250056,86246085,82255030,89255033,90243042,89255043,85255067,89210085,89208093,87186103,91207074,92236068,93220088,95185116,91216085
1,91255029,82235025,85225051,87243087,89255034,91255021,90248037,94255031,95246089,97198081,92215038,93154073,95255069,91177104,99255067,97255080
1,90255014,74255013,92248037,92255035,86234024,98255027,89255066,98241109,92243066,94237071,91185091,93230092,93255046,94245053,88164076,95255061
1,80251121,70250048,57255019,60255030,73242040,78255080,78255081,76255120,83255067,82255068,87211086,84255056,85251061,83255049,85255063,87251062
1,84202024,84217047,82216039,85224033,82208038,91215032,88185022,84219043,89228047,88227063,93233058,90242079,88228084,88240070,88221052,90230060
2,114238030,102228057,103250255,101212101,103172080,75066185,90018086,105255032,103162159,97146247,95255089,102211115,98178119,99255089,82195111,92145172
2,255,101204139,102200093,95109108,100185124,103168224,89034255,90004255,103104235,103211128,102198126,103154124,103227082,106255061,100144101,20091121
2,102147154,90131070,103214207,100164109,100126142,98103106,101152111,99145128,99207106,103242057,101255149,105134112,102255080,102218104,101233092,101194108
2,105204191,109247030,108005255,94161149,105255187,103223055,18063251,104255226,45008255,98202110,99106228,90031255,101103129,100164173,93012255,103191091
2,28059244,102160223,21131255,102163080,103133113,50036142,101243143,101132182,100165215,99120249,102164137,105203054,102110192,102210073,87024212,43029122
2,96105254,95061146,103050149,101039181,100108231,100067160,102109141,102114145,103085096,100128072,103084100,105081098,101094076,101075092,103087112,102102107
2,101159088,98142255,98043120,26098109,103246056,116255015,107062120,105002255,95191088,118255025,120213012,106135049,102109101,100064251,69047148,30012172
2,29089255,103080080,104040083,101178079,107251057,103255054,103236081,96255255,90087188,87129132,101173137,93126190,100175131,99212112,89053255,105255139
2,104197115,104252076,90026255,101117126,106216222,11018235,103139138,103161125,113255030,105249043,101174066,100178099,102125181,92093156,103232067,95191064
3,24059103,46032120,79028102,30068255,56024085,62038093,25119203,31070116,20107150,111024108,115012132,99064076,85044070,39037097,24083255,80024097
3,23120081,30079255,23110121,20063162,28083165,26110255,43035103,20087194,98024117,34051104,90018086,106034083,98050077,101055097,122041099,109054113
3,84050077,103075115,18138111,32022164,22051146,26080163,60049062,98122096,23068149,80032071,87055042,103066035,103050046,80027057,24016081,109025081
3,22133117,35111053,26036142,106037153,24017076,80029078,33065083,33060158,106056068,80029053,50017046,95090037,98060047,110014054,36022059,109038053
3,66139055,103072057,26041106,69081066,27132079,18109075,28101048,33120051,50013057,101090048,105161049,34032063,66019066,103032071,108049089,51025071
3,98061112,80028137,33079068,66043059,36019068,82101068,43047087,63057125,62021207,29063161,102087088,98059065,104053062,22060111,43020090,105088090
3,90026118,73019118,32052078,65044070,42017075,83073073,26040127,46041160,73009246,28038182,101073098,93035081,96035073,26035110,34019109,85034089
3,30091247,51022083,32042108,23061216,84047082,94096064,51043095,43032112,110047097,113030101,37040139,98042066,101050071,105104059,83012083,34021095
3,26087255,51017103,35051115,21075237,74033086,91098070,56036098,37043102,110041113,106036107,40053129,93042066,95041074,103110058,87028083,34022094
