0,1,2,3,4,5,6,7,8
1,96238132,96253122,96255127,96238132,96249135,98204146,95120123,88255045
1,96131128,95255085,96131128,94255095,96131128,95255037,96131128,92255064
1,95154124,94255096,96140133,95255098,96140133,92255046,96140133,91237071
1,97121171,94249119,97168178,92255139,97121171,94253103,98114174,98255112
1,94130200,92233104,92180149,92216124,94191143,88072164,94219084,91216085
1,98120123,94255097,98120123,93228084,94088124,93249089,99117122,97255080
1,96052127,92255086,96052127,94255088,96052127,92246057,92055120,95255061
1,92206084,89255065,92206084,88252080,93218083,93172092,92255079,87251062
1,92245107,91245106,91233117,91246111,90221111,89080127,91224065,90230060
2,98162175,99170108,104213096,101109063,112255043,103090071,106255055,92145172
2,99095255,104222086,101076090,101133175,102203093,103039209,26069203,20091121
2,96077143,103227064,102082214,103075184,103252146,102093202,96203170,101194108
2,102203083,103123145,90022255,62015255,100227037,109095113,103248068,103191091
2,89032255,37017255,97044144,106152077,101222062,106059225,95190098,43029122
2,101086104,102073125,102060127,97078117,98060110,101074097,103045091,102102107
2,35046127,94056174,112255025,115255023,115255023,115255023,115255023,30012172
2,102100130,97056255,98255129,102100130,101255085,102100130,89042255,105255139
2,101104110,103142122,103121169,94136105,98113061,102235025,75004122,95191064
3,23097121,15038135,116036140,104078062,30026078,65029104,28078254,80024097
3,83009108,42042109,87026087,105071086,104071097,105041111,11014150,109054113
3,106033084,96043059,80032048,98060047,98074038,101038054,87035065,109025081
3,106046084,95055056,126021061,103060038,104053062,83019053,95068049,109038053
3,93100051,101079045,101090048,93048058,96046055,105132060,105056082,51025071
3,106023123,37041138,94070087,66016082,95049068,70020076,70020077,105088090
3,98029134,33040173,24053158,93037075,98047081,55017091,70018085,85034089
3,106064088,106021134,37042140,95055056,109035059,104042079,42015086,34021095
3,105069089,111024137,40053129,96038067,106036077,109024084,40029080,34022094
