0,1,2,3,4
1,0,0,0,110255
1,0,0,0,60255
1,0,0,120255,0
1,150255,0,120255,120255
1,165255,0,120170,0
1,120170,0,120255,120255
1,120255,255,173255,0
1,120255,255,0,120170
1,0,255,0,120255
1,0,255,0,0
1,0,255,120255,0
1,150255,255,0,0
1,255,153131,0,0
2,23220,21247,25184,25174
2,12250,14252,24171,24164
2,11255,23237,24175,24177
2,15255,11255,23192,24174
2,4247,11250,24212,24215
2,8255,10249,25208,25192
2,19255,10242,24195,24170
2,23169,22188,25127,22136
2,19199,22187,22132,24121
2,23153,23161,23132,24110
2,23246,23229,24170,24161
2,23244,22225,24174,24168
2,22180,22198,25161,24145
2,21166,22167,24127,24115
2,8237,23135,24103,23103
2,21137,22173,22123,22108
2,21219,23205,23132,23124
2,18245,23174,24130,24120
2,20248,23164,25122,25102
2,23184,21150,23149,23132
2,11255,23184,25154,23138
2,14251,22212,25165,24143
2,23196,23195,24147,25136
2,20193,23216,23155,23145
2,22160,23187,24127,23116
2,23175,23182,24127,24109
2,22150,22204,23131,24123
2,22178,22180,25122,23117
3,175200,171067,160048,167054
3,4126,164141,162048,167053
3,2132,174060,163050,162048
3,165127,177070,162048,167053
3,0,0,140046,168051
3,0,172054,152034,164050
3,0,166047,153050,168053
3,143031,170060,168069,167055
3,159046,172056,170077,164051
3,146059,170070,170057,147045
3,169053,170074,157057,162054
3,0,168052,162045,167044
4,15126,18141,19088,15091
4,14104,17141,15088,13070
4,15153,17150,16099,15099
4,16142,15120,13092,15093
4,16079,17141,15106,16088
4,16086,16156,16110,16083
4,16071,16112,14100,12108
4,15105,8255,15142,13117
4,13096,14121,16118,15063
4,14126,15185,15161,14134
4,17092,12246,17105,17107
4,16118,14255,17106,17096
4,14179,13189,15126,15138
4,16148,15186,13124,16125
4,15135,16177,14129,15146
4,15179,15204,14133,14149
4,15167,15179,15165,16128
4,16145,15156,15143,16120
4,15142,15184,16145,14112
4,15132,16172,15111,15108
5,0,0,244,1255
5,0,0,255,2253
5,0,0,1255,5248
5,0,0,255,255
5,0,0,255,255
5,0,0,255,255
5,0,0,255,179255
5,0,0,255,255
5,0,0,255,1253
5,0,0,255,255
5,0,0,255,255
5,0,0,255,252
5,0,0,255,1255
5,0,0,255,255
5,0,0,255,255
5,0,0,255,255
5,0,0,250,1253
5,0,0,255,255
5,0,0,253,1255
5,0,0,243,1255
5,0,0,255,3253
5,0,0,255,4251
5,0,0,255,255
5,0,0,255,253
5,0,0,255,255
5,0,0,255,252
5,0,0,255,4252
6,255,179255,255,255
6,1255,255,255,255
6,178255,255,255,179252
6,255,255,251,255
6,177255,250,252,255
6,179255,255,255,255
6,179255,255,255,255
6,1252,1255,255,255
6,255,179251,252,255
6,255,179255,255,255
6,179255,255,255,255
6,255,255,179255,253
6,255,250,255,255
6,255,1255,255,179255
6,255,179255,179255,179255
6,255,255,255,255
6,179255,255,1255,179255
6,255,179255,255,255
6,255,1255,255,255
6,255,179255,255,255
6,0,255,255,179255
6,0,179255,255,255
6,0,1255,255,255
6,255,255,251,179255
6,255,255,179251,255
6,0,255,255,255
6,255,1255,255,179255
6,179252,251,255,255
6,255,255,255,255
7,119255,124219,121247,119220
7,125255,121255,118236,120213
7,125255,122242,120240,120229
7,120255,125228,123161,120203
7,120195,120255,118248,119227
7,120206,120252,119245,119206
7,122206,121255,120244,119223
7,119255,120250,120214,118211
7,120162,121255,118238,118214
7,122205,122228,119243,120224
7,120242,121255,119208,118163
7,123228,120255,120248,120248
7,120250,121250,120255,121199
7,121255,125193,120255,120234
7,124094,126130,116144,115141
7,124105,129126,117129,120096
7,126088,123113,118145,125109
7,119255,121255,118214,118203
7,121255,119255,119234,118195
7,124255,120246,118217,118190
7,120183,121223,118237,118197
7,119160,119216,118235,120179
7,119198,123249,117245,118211
8,18255,30255,25255,23255
8,26248,23255,15213,30255
8,28238,6213,25255,30227
8,27217,11255,17255,22234
8,24239,24255,29255,24255
8,23235,16234,30255,26244
8,22237,15230,24246,24255
8,25255,7230,24255,30191
8,15255,176227,13255,24255
8,22255,9255,25255,13230
8,25255,4255,13255,26239
8,22255,16234,23255,25228
8,10255,6232,21255,25255
8,21223,16234,26217,26255
8,22237,13255,21243,23255
8,22184,255,26255,27249
8,24255,20219,24230,25239
8,25243,19239,21246,26249
8,25255,20202,24235,27255
8,15255,6255,11223,22255
8,11238,3234,16255,17255
8,9255,5221,16224,15222
8,16255,255,14242,20246
8,13255,5234,13240,14255
8,13255,175255,14255,17247
8,11246,15247,13246,18244
8,13241,178217,13245,15242
8,11255,255,10240,3217
8,18255,255,9241,13255
8,255,1255,6239,16255
8,255,177255,8246,12249
8,255,255,5255,15222
8,11255,255,5255,14255
8,16255,255,15235,20255
8,19247,8243,15233,17247
9,172210,125020,115058,112064
9,134213,140035,109070,115038
9,122255,126016,109053,110043
9,126255,125022,109064,111052
9,111061,113073,112069,112068
9,118039,129040,109092,107069
9,103093,116054,110072,114057
9,111066,113057,113075,118055
9,110094,113185,114076,111069
9,114067,124053,113047,112067
9,111067,104059,111075,123049
9,120221,124047,115072,115073
9,170030,133026,116071,112061
9,110048,116051,111064,116069
9,118038,120039,112052,116043
9,111080,116048,109050,111048
9,111048,116045,107053,111046
9,128019,120028,111069,106058
9,98024,108044,106062,106053
9,106035,111057,109052,111052
9,168061,107051,108059,109051
9,122255,109216,106051,110049
9,122255,118239,109052,108062
9,120234,109108,104064,106051
9,111042,116044,110065,106061
9,134234,122075,109066,109055
9,134243,103045,105066,111047
9,120255,111096,106068,106064
