0,1,2,3,4,5,6,7,8
1,0,0,120255,0,0,0,0,0
1,255,0,0,177255,0,0,0,0
1,120170,0,120039,0,120255,126255,125255,120255
1,126255,0,120255,0,120255,120255,120255,120255
1,255,0,126255,255,120255,120255,120255,0
1,255,0,125255,255,120255,120255,120255,0
1,255,0,140191,255,0,173255,0,0
1,255,150255,124255,3255,0,165255,0,0
1,255,0,0,255,0,0,0,0
1,177255,0,0,255,0,120255,0,0
1,255,128,0,255,0,0,120255,0
1,255,0,0,255,0,120255,0,0
1,255,0,255,255,0,0,0,120255
2,11249,12248,23234,22243,24177,23190,25206,25188
2,18255,13250,12236,18240,24166,24171,24169,24166
2,8255,1255,12255,20243,23209,25183,24200,24184
2,23222,20255,17246,13255,24176,24185,23175,24176
2,9246,17255,7233,12246,25213,25208,24196,24202
2,9255,5248,8251,15248,25196,25200,25210,25201
2,10249,12255,9255,11255,24175,24188,24192,24179
2,22183,23153,21184,21188,23116,26125,23140,24123
2,22164,21209,22152,23178,23131,23128,23126,23139
2,23174,22159,22153,22165,24113,24117,23122,24119
2,22228,23207,23255,21240,24177,24186,24182,23167
2,22219,18250,17240,22191,23174,24169,24174,23172
2,22205,23206,23206,23203,24151,24160,24163,24161
2,22178,23182,20192,21187,23152,24117,23118,24121
2,23153,22206,12241,22142,23116,24114,24104,22123
2,23159,14250,23159,22163,24113,25107,24114,25110
2,23239,22198,17239,22200,23116,22131,23139,23127
2,22173,21192,18242,21195,23119,24134,23140,23136
2,24167,22245,17255,23180,23110,26107,24120,25106
2,22173,23175,23199,23190,23129,23141,23139,23164
2,23193,15207,13246,23205,24145,23149,24166,23145
2,18218,12250,9233,19211,24148,24158,24158,24153
2,22203,23208,23187,24182,24132,24154,24157,24145
2,23224,18235,1221,22211,24145,24158,24162,24140
2,22178,23185,23161,22186,23115,25126,25124,22157
2,22170,23173,21227,22192,24115,24121,24127,21132
2,21211,22181,22160,23176,24118,20152,24131,22121
2,23188,22181,22200,23195,23173,23136,24128,24127
3,7107,170097,4154,159079,164039,166051,167074,170068
3,172098,169066,178156,173142,162050,162054,163059,168056
3,176078,178118,174119,174170,164049,166062,162045,164049
3,170069,162176,6090,4106,162040,167049,167056,172061
3,0,0,0,0,167054,162047,169044,169054
3,0,0,0,179064,164051,154049,1045,169053
3,0,0,0,166050,170051,169060,152038,169055
3,172072,160045,164059,175083,166052,167057,155050,170064
3,170064,167056,173070,166048,168058,164059,177089,164058
3,175074,173069,179096,175080,154053,164055,164055,162059
3,172068,167059,153044,178073,172060,168075,145045,170064
3,0,0,0,176047,175050,164048,162046,167060
4,14150,17100,15123,16142,15095,14090,17082,14098
4,14206,17130,15124,15160,14087,15126,15090,13078
4,15154,15154,5028,18076,16098,17122,14126,16130
4,15141,16152,16122,11073,18134,16106,12108,16109
4,16150,17118,15106,16135,15117,16107,16094,17115
4,120018,14038,15116,17116,14112,16142,17112,16096
4,15126,18102,15082,16120,16106,17109,17124,13120
4,3248,16137,15122,2255,15106,15133,11116,15119
4,12227,13227,16079,14095,14086,16110,14110,16094
4,15164,13180,11255,15190,15132,15149,15154,15148
4,12244,17145,15120,13221,15108,17114,17130,15134
4,10246,15138,17135,9246,16101,16114,17131,16103
4,12247,14169,13216,6251,15120,15127,15168,15172
4,15180,15168,15150,15174,15144,15178,15142,15145
4,15187,17170,13171,15199,15158,15164,15150,15170
4,17177,16230,15193,15210,15160,15183,15178,16165
4,15213,16197,15198,14200,16147,15171,16160,15157
4,15165,16162,15174,15183,16119,16148,16156,14128
4,15182,18180,15165,16192,15116,14142,16177,16145
4,15141,15180,8247,13203,14096,15126,14121,15139
5,0,0,0,0,2253,252,255,2253
5,0,0,0,0,255,255,250,255
5,0,0,0,0,3253,1248,2253,5255
5,0,0,0,0,255,255,255,255
5,0,0,0,0,255,255,255,252
5,0,0,0,0,255,255,255,255
5,0,0,0,0,255,255,255,253
5,0,0,0,0,255,255,255,255
5,0,0,0,1253,1253,255,240,1253
5,0,0,0,0,252,255,255,255
5,0,0,0,0,255,255,252,255
5,0,0,0,0,1252,255,252,255
5,0,0,0,0,255,255,255,255
5,0,0,0,0,1250,255,255,255
5,0,0,0,0,252,179255,255,252
5,0,0,0,0,255,255,255,252
5,0,0,0,0,2255,255,255,255
