0,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0,0,0,110255,0,110255,0,0,0,0,0
1,0,255,0,0,120255,255,60255,0,0,0,0,0
1,0,0,120255,0,120255,0,0,120170,120255,120255,120255,120255
1,0,0,255,150255,0,0,120255,120170,120255,120255,120170,120255
1,0,255,120255,165255,120170,255,0,0,120255,120170,120255,0
1,0,177255,0,120170,0,255,120255,120255,120255,120255,120255,120255
1,255,3255,0,120255,20033,255,0,0,120170,173255,170255,0
1,255,255,165255,120255,120223,255,120170,0,120170,0,0,120170
1,255,170191,0,0,0,255,120255,0,0,0,0,0
1,255,255,125255,0,0,255,0,0,120255,0,0,0
1,255,255,0,0,178238,255,0,120170,0,120255,120255,120255
1,255,6054,0,150255,0,255,0,120255,0,0,0,120255
1,153131,177255,0,255,126255,255,0,0,0,0,120170,120255
2,21247,9249,10245,23220,22198,23246,25174,24173,24185,25184,24181,24191
2,14252,13252,12252,12250,13255,16255,24164,24173,23172,24171,24169,24183
2,23237,6236,6248,11255,10255,9253,24177,23193,24194,24175,23233,23183
2,11255,22248,22217,15255,21244,19241,24174,23174,23179,23192,23176,24172
2,11250,15252,15248,4247,19239,12255,24215,25220,24213,24212,25219,25198
2,10249,1255,11248,8255,11250,8255,25192,24201,24199,25208,24204,24195
2,10242,14241,6255,19255,12255,12238,24170,24185,25194,24195,24192,25182
2,22188,23180,22143,23169,21167,22196,22136,24113,23147,25127,23133,24108
2,22187,23177,23167,19199,23196,22181,24121,24127,22144,22132,24130,22155
2,23161,23159,22153,23153,22149,24171,24110,23126,23125,23132,24116,23119
2,23229,22224,22233,23246,19250,10247,24161,24192,23187,24170,24186,23168
2,22225,22224,23232,23244,19239,22227,24168,24176,23182,24174,24181,23176
2,22198,22218,23202,22180,23227,23206,24145,24150,25159,25161,24161,24151
2,22167,22159,22176,21166,19249,13255,24115,24126,22123,24127,23122,22117
2,23135,23150,29100,8237,18229,23145,23103,23112,25109,24103,24114,22114
2,22173,22174,17245,21137,23147,23156,22108,24108,24112,22123,22128,23120
2,23205,21206,23178,21219,22232,18255,23124,24128,22159,23132,23124,23128
2,23174,22158,22169,18245,19249,18220,24120,24124,22138,24130,23147,24135
