0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0,75255,0,255,0,110255,110191,126213,0,0,0,0,0,0,0,0
1,0,0,255,255,75255,0,120170,165255,0,0,0,0,0,0,0,0
1,0,0,126213,165255,0,120128,120235,0,120255,120255,120255,120170,0,120255,120255,120255
1,0,0,120255,140255,125255,120255,120230,0,120255,120255,120255,120255,0,120255,120255,120255
1,0,126255,177255,165255,0,120255,115219,255,120255,0,120255,120255,120255,120170,120255,120255
1,177255,0,255,173255,120255,124255,120170,177255,120255,120255,120255,120170,120170,120255,0,120255
1,255,255,177255,15255,15255,125219,0,255,120170,0,0,0,0,165255,120255,120170
1,255,255,255,175255,165255,0,125255,255,0,0,0,120255,165255,120170,0,0
1,175108,22014,173255,0,0,0,165255,255,0,0,120255,0,0,0,0,0
1,255,255,255,0,0,120255,0,170255,0,120255,126255,120255,126255,120128,0,120255
1,255,120128,255,165255,0,165255,255,255,120255,0,120255,120255,120170,0,120170,120255
1,137062,169255,255,0,0,0,0,255,0,120255,0,0,120255,0,0,0
1,255,140255,255,255,122255,126255,120255,255,0,0,0,120255,120255,0,120255,120255
2,16255,17248,13239,12251,242,23215,22238,22253,24174,24170,24182,23180,25176,23175,24179,24192
2,18252,15251,9248,13255,15250,17246,13243,10255,24168,24164,24179,23206,24169,24161,24170,24168
2,14255,11240,8249,10255,9249,11245,10243,10251,24171,23207,24185,24182,23178,23206,24191,23180
2,22242,15251,22244,21236,22242,22240,21228,18255,24172,25177,23182,24186,24184,24193,24172,23183
2,9255,14245,14243,5250,9237,1246,14245,7255,25202,25213,25222,25230,25223,24212,25215,24206
2,11248,15245,12255,12245,10249,14251,12251,12247,24194,24195,24194,25208,25213,25214,24213,24199
2,5239,14217,13248,13230,10235,12255,11255,12243,24177,24171,25192,25191,24206,24198,24196,24182
2,23173,23181,23187,23157,23145,22161,22169,22218,23124,23101,22130,24131,23105,25128,24118,23112
2,23172,23164,23168,22180,23166,22185,22188,23184,24116,24140,24123,21157,24117,24130,24135,26129
2,23160,23163,23174,22152,23157,23158,21161,22178,23151,24109,23130,22139,26118,23135,24123,25112
2,15255,20213,22224,24213,22220,20228,20245,13253,24171,23154,24173,24191,24173,23172,24178,23174
2,23228,23225,23239,22231,23255,22253,21255,23214,23171,24171,24164,23179,24179,24176,24182,23175
2,22196,23201,22202,23196,23220,23209,23212,23213,24148,24146,24148,25159,24160,24162,23169,24157
2,22162,22154,23157,23173,23179,20204,20189,18222,23124,23132,23135,22131,24124,23122,24125,23131
2,23128,23141,23145,22160,18252,20232,20224,22135,24100,24116,24112,24105,24114,23102,24111,22125
2,22176,23163,21213,19200,22161,23150,23155,22160,22108,22102,24103,24119,25115,24118,24121,23123
2,17249,20241,22198,22186,21170,21197,15252,17250,22125,24125,23138,22150,23136,23146,23129,23128
2,21194,21185,22171,22177,22185,17253,21243,13255,25117,24113,23131,22129,23129,25124,25137,22132
2,24169,22160,22158,22163,23185,20232,20210,21221,27094,24113,23111,24129,23106,23127,24114,22123
2,21196,23176,22172,22171,22154,22192,22200,23208,23149,22132,23140,22176,23139,25139,22142,23131
2,22181,23196,23206,11225,8237,16217,10237,23230,25143,24138,24151,23152,24157,24152,24165,24154
2,22237,23214,20251,10242,10238,13251,8248,22231,25141,24148,23159,23155,24161,22192,23158,24147
2,23200,23232,13245,20215,15250,23182,23192,23182,24148,24133,23155,24158,24142,24149,24146,23141
2,22232,22242,23191,15255,19236,11211,19219,19195,24135,24140,23149,23150,23154,24146,23148,23154
2,22199,22192,22202,21177,23165,21180,22181,22173,23116,24119,24132,24133,25123,23137,25127,23123
2,23181,21253,22170,23173,23172,23178,23184,23181,24137,24110,24121,21137,24128,26119,24117,26122
2,22182,23197,22192,23190,23168,22157,23169,22249,24102,24111,24114,19136,25130,24123,23144,23130
2,22193,23184,22192,19219,22177,22194,23207,22208,24123,24135,23173,24134,24129,24130,24126,25114
3,165110,168081,170100,175094,154136,174119,173108,173093,174065,164045,166047,170058,156047,165059,167055,167069
3,173108,154130,164109,6116,3130,169139,3164,163173,168045,166046,164054,167056,164053,161047,164059,164057
3,175065,174071,165081,178062,178104,167160,179102,174099,162051,158038,167053,174071,165060,151057,159055,167060
3,179075,173073,175072,163100,175085,7100,174083,75,174071,162043,168048,162059,164051,162057,162057,170071
3,176059,0,0,0,0,0,0,170060,172053,166049,173059,169067,157044,148044,166058,166056
3,176067,174073,0,0,0,0,170069,172073,167054,167053,167062,170054,158051,143043,170062,165064
3,170058,71,8047,0,0,153037,164048,167047,172055,167051,172059,173054,161049,156049,157058,169055
3,1064,170064,10072,146026,138040,162051,170054,178078,164050,158040,172059,170069,161055,158043,152048,169065
3,172068,173069,177089,175073,167054,152108,176115,1078,167055,162054,170058,159063,164053,170068,170097,164069
3,170060,170066,164062,150046,161041,164053,2075,175072,164045,166048,167055,165065,164062,163050,174058,164055
3,1092,173072,73,172067,165055,172061,171067,171060,167054,168061,170055,167061,164057,162054,170068,170062
3,179059,174042,0,0,0,0,172057,177053,177061,172048,170062,164045,166050,162048,160069,167049
4,15130,15104,21105,15111,15107,17096,15097,16121,14082,15079,16094,14102,15078,14087,16100,15099
4,16140,15130,14133,13122,16081,16083,16127,15130,13078,14082,15103,14127,13096,14093,15097,15073
4,14111,110072,170012,17126,18142,13133,3083,13116,15114,17104,15138,16135,18110,16116,15119,16140
4,17131,17141,15163,14150,4242,125099,15156,16135,16111,17097,16148,19125,12097,13094,16111,15141
4,11080,16130,17148,15124,16117,16110,17113,17062,16093,17159,15099,16112,16109,15101,16116,16104
4,15158,16150,15152,16104,17101,16110,15186,2255,15106,15072,15102,15155,16121,14100,15129,16131
4,17120,17114,15140,15109,15071,16068,17110,17121,16118,15103,17115,17114,16098,14124,18113,17153
4,9230,16171,11250,15113,16093,13081,15096,16162,15115,15109,15114,14149,16125,15154,14145,15122
4,14095,12237,3240,11252,12239,13092,15099,16121,16077,15068,15086,16107,19110,17107,17095,14105
4,15192,15178,15193,14151,10247,11255,179243,4255,17126,15137,17160,15183,15151,17157,15174,16150
4,11250,9247,14217,16149,16111,16110,14223,10255,16105,16096,16103,17123,16121,16121,16129,16120
4,12248,13251,13220,16157,17131,17113,16134,5250,16116,17097,16116,16140,16129,17111,16108,16128
4,14219,15208,14214,15176,15169,15192,14221,3255,15137,17147,15176,17152,15159,16140,14172,15167
4,16198,15191,15216,12191,15153,14127,16149,15191,15145,16147,15161,15172,14129,15107,14142,16168
4,15188,16178,15177,15175,15162,15161,15160,17195,16139,16128,15149,14170,15135,14133,14156,16163
4,15211,15199,15231,15225,16198,16152,16202,15201,15148,15150,15162,15193,15142,15175,14193,16185
4,16187,15193,14193,15180,16171,15169,16185,16191,15131,16126,15144,15184,15177,16181,15178,15156
4,15178,16168,15193,15177,10195,3250,15192,15188,14135,16128,17160,16153,15149,17147,16156,14191
4,16179,15181,15193,13161,12215,179255,6231,15198,14147,15107,14170,14161,16149,15159,14142,14166
4,15162,16159,16172,15148,16137,15137,15164,14187,16112,15090,16114,16135,16132,16116,16143,14131
5,0,0,0,0,0,0,0,0,2255,1255,255,255,253,255,255,255
5,0,0,0,0,0,0,0,0,255,4253,255,252,255,253,255,252
5,0,0,0,0,0,0,0,0,4255,5253,4255,5253,2253,2251,1255,1255
5,0,0,0,0,0,0,0,0,255,255,255,255,255,255,252,255
5,0,0,0,0,0,0,0,0,255,252,255,179255,255,255,255,255
5,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255
5,0,0,0,0,0,0,0,0,1255,255,1255,250,255,255,255,255
5,0,0,0,0,0,0,0,0,255,253,255,250,255,255,255,255
5,0,0,0,0,0,0,0,0,3253,1251,255,1255,255,179255,255,248
5,0,0,0,0,0,0,0,0,255,255,250,252,255,255,252,252
5,0,0,0,0,0,0,0,0,255,255,252,255,255,252,255,255
5,0,0,0,0,0,0,0,0,255,179255,179255,255,255,255,252,255
5,0,0,0,0,0,0,0,0,1255,253,179253,255,255,255,3248,253
5,0,0,0,0,0,0,0,0,255,1255,1255,255,255,255,253,255
5,0,0,0,0,0,0,0,0,255,252,255,255,255,255,255,255
5,0,0,0,0,0,0,0,0,255,255,255,255,255,255,255,255
5,0,0,0,0,0,0,0,0,255,252,3255,255,255,253,255,255
5,0,0,0,0,0,0,0,0,179250,3253,248,179255,179255,255,255,255
5,0,0,0,0,0,0,0,0,1253,2255,2250,255,255,255,255,253
