0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0,0,0,0,1,179255039,1,1,115255006,120255001,120255004,0,1,1,1,0,0,0,1,0,1,1,0,1
1,177255010,0,1,255010,255006,165255002,0,0,126255005,0,0,0,1,120255002,1,0,0,1,1,1,0,1,0,1
1,0,1,0,120170003,20026030,255004,0,1,125255006,120039013,138142009,0,120255002,120255003,120255002,120255002,120255002,120255002,126255005,120255003,120255002,125255006,120255002,120255004
1,0,0,0,126255005,70022,255004,1,120255001,120170003,120255007,120255003,0,120255002,120255002,120255002,120255004,120255002,120255002,120255002,120255002,120255002,120255002,120255002,120255002
1,255010,1,165255002,255004,204005,255004,0,120255001,0,126255005,165032016,255010,0,0,0,120255002,120255002,0,120255004,126255005,120255002,120255001,0,120255002
1,255008,165255002,0,255006,255004,255004,0,120255002,0,125255006,170077020,1,0,0,120255002,120255002,120255002,120255002,120255002,120255003,120255002,120255002,120255002,0
1,255010,255008,173255004,255008,255010,6213006,1,0,120085003,140191004,140255003,255010,0,120255001,0,0,255001,0,173255004,0,1,0,255001,0
1,3255009,255008,0,255008,255010,255004,150255004,0,120255002,124255007,0,255010,0,15255002,0,0,0,120170003,165255002,0,0,0,0,0
1,255018,132255005,177012187,255014,0,0,0,0,0,0,0,0,0,0,120255002,0,0,0,0,0,0,0,0,120255001
1,255010,177255011,255004,177255009,255004,0,0,0,0,0,0,0,0,0,0,0,120255002,120255004,120255002,120255002,165255002,0,120170003,0
1,255018,255004,140255003,255010,255014,173255004,128002,0,120128002,0,0,255010,0,0,0,0,120255002,173255004,0,0,120255002,120255002,0,0
1,255014,166255011,94025081,255010,255010,132255005,0,1,0,0,0,255004,0,0,0,0,0,120255002,120255002,120255002,0,0,0,0
1,255014,2255015,173004248,255007,255018,255010,0,165255002,120128004,255001,0,0,120255002,120255002,0,0,0,120255002,0,120255002,120255001,0,120170003,120255002
2,22243130,23246117,15255084,11249045,10255052,12246059,12248037,176245026,23222131,23234131,23238123,22228134,25188149,25167154,24165167,24177161,24191143,24172160,23190146,25178145,25177150,25206130,24178158,24178163
2,18240102,15251071,17251131,18255066,17245079,13249079,13250055,12255061,15252078,12236053,14255056,13247066,24166166,24155181,24172157,24166172,24175156,24197145,24171166,24162168,24166166,24169163,24172159,23195137
2,20243109,16252073,10244048,8255032,6248036,10244045,1255026,9248039,9249041,12255053,11251061,11255128,24184150,24170162,24175159,23209138,23185150,24180152,25183139,24179147,24187147,24200138,24185146,23183152
2,13255054,17255067,13255050,23222116,22228114,22221112,20255069,22227120,22236120,17246088,13251072,15252095,24176155,24174157,22184155,24176154,24179160,23186151,24185152,24185152,23221113,23175147,24173147,24177150
2,12246055,10242040,12239081,9246029,10241072,6246058,17255056,4247030,9248034,7233035,4255024,12229049,24202154,25201152,25210147,25213133,25221126,25234121,25208141,25215133,24208151,24196168,25217142,25207142
