0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0,0,0,0,1001001,1000039,1001001,1001001,6001000,1000000,4000000,0,1001001,1001001,1001001,0,0,0,1001001,0,1001001,1001001,0,1001001
1,1000010,0,1001001,10,6,1000002,0,0,5000001,0,0,0,1001001,2000000,1001001,0,0,1001001,1001001,1001001,0,1001001,0,1001001
1,0,1001001,0,3001001,27029030,4,0,1001001,6000001,13011011,9004007,0,2000000,3000000,2000000,2000000,2000000,2000000,5000001,3000000,2000000,6000001,2000000,4000000
1,0,0,0,5000001,16016022,4,1001001,1000000,3001001,7000000,3000000,0,2000000,2000000,2000000,4000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
1,10,1001001,1000002,4,1001005,4,0,1000000,0,5000001,15014016,10,0,0,0,2000000,2000000,0,4000000,5000001,2000000,1000000,0,2000000
1,8,1000002,0,6,4,4,0,2000000,0,6000001,16014020,1001001,0,0,2000000,2000000,2000000,2000000,2000000,3000000,2000000,2000000,2000000,0
1,10,8,1000004,8,10,1002006,1001001,0,3002002,4001003,3000002,10,0,1000000,0,0,1,0,1000004,0,1001001,0,1,0
1,1009,8,0,8,10,4,4000004,0,2000000,7000001,0,10,0,1002,0,0,0,3001001,1000002,0,0,0,0,0
1,18,5000002,179178187,14,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,0,0,1000000
1,10,1000011,4,1000009,4,0,0,0,0,0,0,0,0,0,0,0,2000000,4000000,2000000,2000000,1000002,0,3001001,0
1,18,4,3000002,10,14,1000004,1001002,0,2001001,0,0,10,0,0,0,0,2000000,1000004,0,0,2000000,2000000,0,0
1,14,5000011,81080073,10,10,5000002,0,1001001,0,0,0,4,0,0,0,0,0,2000000,2000000,2000000,0,0,0,0
1,14,1015,245244248,7,18,10,0,1000002,4002002,1,0,0,2000000,2000000,0,0,0,2000000,0,2000000,1000000,0,3001001,2000000
2,6096130,4089117,42084,1017045,18052,2024059,1016037,4001026,17104131,11102131,8096123,14101134,39129149,53138154,59147167,49140161,36123143,52138160,37122146,44129145,46132150,25112130,48137158,49142163
2,6062102,1037071,2075131,40066,3046079,2036079,1025055,25061,1039078,4024053,26056,2029066,58144166,71160181,51137157,60148172,49136156,33121145,55142166,61148168,58144166,55141163,52139159,32112137
2,5075109,1040073,2017048,8032,1008036,2017045,1026,1012039,1013041,21053,1023061,46128,42128150,54142162,50136159,25112138,41125150,45131152,39121139,44125147,39125147,30116138,40126146,43127152
2,24054,38067,22050,15091116,12086114,15085112,45069,13093120,9092120,3050088,1031072,1049095,48133155,50135157,43127155,48132154,48136160,41127151,42131152,42131152,15091113,46124147,47126147,46129150
2,2024055,2015040,5036081,1009029,4027072,2013058,31056,1005030,1011034,3010035,3024,5022049,32130154,32131152,26125147,22114133,17109126,10102121,26121141,21114133,28127151,39144168,21120142,27122142
2,2036072,1029065,2016045,10034,22048,18049,1007036,8036,15047,1017059,1040075,1025057,35142164,33126147,40135155,36135155,43141165,41138158,33135154,22122146,42146173,26126148,22121143,33126149
2,31083,4029056,20046,1015043,3030065,1012042,19047,12023051,1018050,10034,1025051,19047,49142165,52156179,62156179,55151175,37136156,50152174,41134157,37125146,39130151,37125149,34128151,40134157
2,36106136,39113140,40108131,45131160,37102123,54114136,55118138,60121141,60127150,41116148,49118151,37111139,80139154,96152169,96154166,94153172,76138150,81142162,75137147,72130141,79140154,67130148,81140156,78136157
2,40109132,45115139,38106129,49113137,49114135,39107131,28118155,42111135,34106130,59122146,41110133,36106130,70134154,87146156,82146164,83150171,93155173,72131151,76134153,74127147,69131142,75131148,70129145,76135151
2,53124150,47119143,53120139,44117138,43123147,55126156,54120143,54121142,61127145,61129153,44127158,50120142,84143158,63127146,93153166,95155171,73137155,80147170,88147163,82143154,74135149,80135153,83142157,93152167
2,7084117,9069100,16080104,12086112,11088115,21096122,23097121,12092120,8089121,86114,4042077,31085,52128151,50129150,59132152,47132154,36122144,38122147,39124145,41123145,44122145,37112130,42114134,44116134
2,34108136,14086106,22095121,17091119,11090117,31105135,1033055,6090116,9089118,6060099,3087113,17096123,51131156,50134155,51137157,50134158,48128151,37114133,47122140,40112129,33108126,43117135,38114132,41111130
2,25100122,27106131,25100122,25099127,33104131,35105128,23098120,24108133,25109134,26109134,18102130,31108137,54129147,69146162,70145164,64137157,63136154,36108126,52122139,57131151,57135152,54130149,51125145,63139158
2,43125161,49115138,53114134,39106129,42103123,40100122,34097118,38106129,48106134,31095126,1028054,14064080,84144160,83142158,44106129,53112131,73132151,80139163,83138153,71127144,72130150,79131147,79138156,73129146
2,70134158,67135158,77137156,63136157,67126146,61127157,32128165,85234255,48134160,3023054,33118156,56129151,73124141,95150164,92153167,100163184,96156170,98158170,92151166,98150164,98151164,95147160,101156169,64124146
2,62141171,46112137,55119143,50113133,50176244,47116159,1023048,64114132,53120143,56126149,62130154,56124147,95155167,85144160,100161175,95156170,116171185,83142158,86138148,79138157,70126143,87142157,86142158,85144163
2,41152191,4100148,1024051,6074094,26092116,42105126,25090112,58126148,29134172,6058097,2051079,2018049,83147165,79138158,83146164,94153172,75136157,63125148,86154177,71136145,61130148,72137158,86140159,78141161
2,54177229,33110142,42112141,43110133,53116136,36103126,42134171,38113139,2052109,8101162,32140177,2059085,70131150,73132147,84146166,92153172,80141161,71135159,68127143,57115132,73133145,66128146,65125140,78137156
2,44125150,54125149,54128150,49122142,59126147,66130154,3054073,4086125,13091113,52092,50161210,41117150,102164175,106165180,110170184,106168186,93156176,70139159,98159169,89153164,102164184,85146160,94153167,80137154
2,33105129,35107131,46112136,43111134,52119144,45115139,40108127,44112135,32105133,30111137,30100126,34104133,47110131,71134154,84149170,82145166,64132151,36102131,70136157,70133151,58118135,67128147,65124144,72134150
2,24098122,36108138,32106132,32108131,27098120,2014036,10031053,1008031,3031061,2027059,12087119,11099136,70141163,75144163,63132151,68139157,60132150,76146165,63132152,59128146,55122138,49122140,56129149,69138158
2,19076111,7091117,22096122,10045069,16075097,7034,1020048,5021050,12045,4017046,9053085,8055088,60132150,68139154,61135153,65137155,67141156,52120139,55125144,51117135,51124144,55127144,48119139,65136153
2,37110130,37112132,19096123,26100128,7037064,3048069,22097120,19069091,48120140,36111134,35115141,30099119,66135153,71147165,78150168,82151170,56132150,63139160,57128144,67136156,66132151,56128146,63133150,63129148
2,22099128,21100127,30102126,14091114,19085110,14084106,5041065,14040,16079114,5006037,2040074,20101128,71141158,67137156,81155173,71144164,55131150,65137157,54123142,59128145,58123138,51122140,91164182,63128149
2,35105129,42111138,37103128,38103126,6099133,33098127,34101123,58123144,40112130,49112133,31103127,40107128,51111133,95158172,92152168,101164184,73132148,72131151,74134146,83140155,69128144,76136148,74133149,89151175
2,33108134,36102127,33096117,43105129,45111136,41106127,40106125,58121142,38107130,14094127,21094122,47108134,75132155,80141159,94150161,89148162,73138156,88146175,76131145,83140155,73131145,71128141,78136147,82141157
2,38101122,39107130,28100125,23100132,37102126,42106125,37105128,41104125,36103131,52115139,39106127,42111134,85142162,89148159,88146158,82139153,95154169,84144174,64128159,77129145,77134150,71132146,58119139,77136156
2,28098118,30098119,25094117,29090110,31094115,41105139,37103128,36101122,33096117,26096120,23090115,8090121,75134149,84139160,76132147,39102121,44106126,62129149,70130150,66128144,70126143,74133149,73130151,81141153
3,102078113,91085138,93082128,88103152,15009040,75078136,57047076,63040070,15002030,43052109,75067115,110093133,80071097,108101128,118107132,134122144,113104130,98089116,95085106,116101125,103089117,74063089,81071097,79070091
