0,1,2,3,4
1,1001001,0,1001001,3001000
1,0,0,0,2000
1,0,0,4000000,0
1,3000003,2002002,2000000,4000000
1,1000002,0,3001001,0
1,3001001,0,2000000,2000000
1,2000000,4,1000004,0
1,4000000,4,0,3001001
1,0,4,0,2000000
1,0,4,0,0
1,0,4,2000000,0
1,1000001,8,0,0
1,4,39020041,0,0
2,18104130,3069097,40126144,48134152
2,1022055,1039083,55145166,59145165
2,16043,8086112,47128149,48136157
2,34066,13035,36120146,50135157
2,1005030,1019048,24120143,21111135
2,10037,1014040,26121141,38135155
2,39063,2014038,34123144,60156179
2,43106127,37112140,72132144,73134156
2,30098136,33100123,75133155,85147162
2,57122143,52121141,76138157,95152167
2,4085112,12091116,48125144,55132150
2,5089115,14094121,44118138,53135155
2,38106129,29104130,55133150,70143163
2,47109135,46110134,71126141,83138151
2,3013043,75138159,91140153,107163180
2,71128153,47121147,85144164,103159179
2,19100136,35148180,83150172,101175197
2,7109179,41108129,72133147,84145159
2,2046069,53126148,85149163,116179193
2,38114136,61122148,66136159,77142160
2,18047,37109133,55124139,75144164
2,1029060,21096124,52131148,68138155
2,32113138,30105127,63132149,74143158
2,26079107,19100123,55121140,69140160
2,53120143,34105128,74133148,92152169
2,40107128,35102123,73130145,96153168
2,55114134,25099124,75135154,80141155
2,38102126,37101126,79139152,95155175
3,13008037,144130176,119103127,116104132
3,64072127,35021047,107094116,110099125
3,51055106,110104136,108095118,133117144
3,47031062,87084116,107094116,97087110
3,0,0,112092105,98089111
3,0,91085108,113099114,102090112
3,0,102092113,90074092,101091115
3,142125138,75068089,75065089,93083106
3,111096117,85079101,69060086,104092115
3,87067084,69061084,80073094,108089106
3,89081102,73064090,76062080,87075095
3,0,111101127,105093113,120110133
4,52077103,47081105,80106122,88113137
4,68090115,47080105,66084101,89104123
4,40069100,44079107,60080098,71094116
4,46077104,57082108,60075094,73094115
4,87108126,49083110,60081103,83107127
4,87111131,34062088,51072090,77097114
4,96116133,59083105,73095120,60078104
4,73098124,8032,42069095,64088118
4,88111141,64092122,60088112,106124141
4,71104140,29068106,40075108,52080110
4,104137163,3037085,87122148,85120146
4,76111141,30064,88124151,93124149
4,32068108,27060105,69102136,58093126
4,54094129,31073115,58081113,74112145
4,74116157,35077114,58086117,56093131
4,32069107,18054090,58088121,45074108
4,43085125,34075114,32062091,66102132
4,50086116,39069100,33054075,62091117
4,50082113,26061094,38064088,64088114
4,63098131,34072105,66091117,72099125
5,0,0,5005111,5114
5,0,0,102,1010117
5,0,0,2111,4029141
5,0,0,1088,102
5,0,0,88,1113
5,0,0,87,93
5,0,0,1000098,3000100
5,0,0,95,1099
5,0,0,115,1004116
5,0,0,1000096,1098
5,0,0,90,86
5,0,0,107,1001091
5,0,0,1111,2115
5,0,0,1000104,1103
5,0,0,1000103,94
5,0,0,1000080,100
5,0,0,3002097,1005110
5,0,0,94,1097
5,0,0,1001108,2108
5,0,0,5006110,4108
5,0,0,90,1014118
5,0,0,98,2017117
5,0,0,90,1089
5,0,0,90,1001107
5,0,0,74,1000076
5,0,0,97,2001097
5,0,0,88,1015099
6,64,1000026,1000067,64
6,1058,34,1000064,1000072
6,2000030,24,64,3001077
6,1000079,1000062,2001069,1000080
6,2000021,1001050,2001075,1000080
6,1000045,78,1000074,1000110
6,1000034,1000068,1082,94
6,1003096,1059,1000080,1000104
6,104,2001057,1001091,1105
6,14,1000041,1000068,84
6,1000027,60,64,1000096
6,104,63,2000078,2001104
6,1091,3004140,77,1082
6,60,1052,64,1000056
6,70,1000042,2000060,1000050
6,61,31,60,60
6,1000047,48,2068,1000044
6,1000064,1000050,61,1000062
6,70,1052,1000064,60
6,1000064,1000050,64,1000066
6,0,60,54,1000058
6,0,1000050,54,54
6,0,1052,54,58
6,1000072,1000061,1001059,3000064
6,1000068,1000069,3001070,1000069
6,0,78,61,64
6,1099,1058,55,1000045
6,3001078,1001061,55,58
6,1000062,54,54,48
7,22001000,63009016,62002003,81014011
7,49000008,39000001,68009005,78013013
7,44000007,57003007,68004004,69008007
7,39000000,66007017,109040047,83017018
7,81019020,77000001,70006002,81012009
7,78015015,75001001,80005003,98021019
7,68013016,56000001,70004003,87013011
7,43001000,55001001,80013013,82019014
7,96035035,46000001,74010005,81017013
7,66013016,57006009,66005003,74010009
7,60003003,57000001,86019016,122048044
7,57006011,74000001,68003002,69003002
7,53001001,47001003,54000000,95021023
7,48000002,131032049,62000000,72006007
7,81051055,51025030,71037031,130070058
7,80047051,73037048,71038035,101063063
7,99065072,86048052,72034031,96055062
7,32001000,27000001,75017012,84022017
7,34000001,32001000,62006005,85024020
7,30000004,54002002,74016011,90027023
7,81024023,63008009,72009005,88024020
7,89034033,65011010,77011006,97029030
7,71017016,45001005,73011003,82018014
8,8013,2002,5006,9012
8,1032037,12016,2007012,8008
8,1014015,1002006,5006,1009009
8,4025027,3008,4007,1009012
8,2026032,22027,27028,31039
8,2020025,1007012,12012,1020023
8,2021028,2011020,1023028,29036
8,16019,1003010,4005,1004004
8,2004,2001009,3007,4005
8,11015,2007,5006,1005010
8,15018,1007,3007,1014016
8,21029,1007012,3004,2016019
8,1003,1003011,9013,16019
8,3018024,1007012,3018020,15017
8,2022029,3007,1016022,18023
8,12035043,10,25029,1041045
8,47058,3015021,3025031,3041049
8,2035041,2021032,1020028,1035041
8,32038,6021029,2021026,37041
8,10020,4019,2007016,21029
8,1006015,1002012,14026,15027
8,6021,2004015,3015025,3013023
8,13025,12,1010020,1018027
8,12028,2006024,2015033,21046
8,17038,2000013,13027,1017030
8,1011028,1016031,1012027,2028045
8,2017036,4003020,1011025,2020038
8,3008,10,2013035,4006027
8,26043,10,2012036,20047
8,10,1023,2008031,26048
8,13,1000010,1008028,1017040
8,12,14,2013,3013023
8,8021,12,3018,13027
8,14027,14,2014026,17026
8,1019030,1006021,3019035,1018031
9,16007040,76070071,79064061,88072066
9,18003010,66057063,76063055,88077075
9,16000001,80075076,102089081,107095089
9,19000004,69063064,84071063,99085079
9,84070064,105082075,92074067,94076069
9,105090089,64054057,80062051,104088076
9,153128097,71058056,92075066,107088083
9,89073066,71059055,85066060,84067066
9,111083070,120052033,84064059,103083075
9,106084078,67053055,86074070,99080073
9,114093084,82073063,92073065,109088090
9,30004004,76062064,82063059,98075070
9,163156177,69062065,61046044,109090083
9,112098091,75062060,68056051,74057054
9,127109108,79067067,108092086,119102099
9,128100088,74062060,82072066,107093087
9,107093087,91077075,91080072,112098092
9,110102104,82073073,100081073,97085075
9,119116108,99089082,91079069,106094084
9,109101094,89075069,83072066,112096089
9,64057075,80071064,74064057,104091083
9,16000001,65030010,95085076,126110102
9,15000001,32004002,69060055,111095084
9,12001001,173127100,76067057,111099089
9,98087082,133113110,102085076,113099086
9,12001006,44031032,81068060,97084076
9,21001010,90083074,70061052,124108101
9,12000000,64047040,83071061,104090078
9,237117008,51031029,83072062,104092082
9,95080074,83069065,98078067,109090084
9,90073066,88075067,96078071,113097085
9,102097117,28000000,101082072,114100084
10,122104060,102087041,103080035,120091038
10,0,114100048,84053000,101070001
10,0,0,86057000,92064000
10,169105003,110080002,87058001,116080003
10,0,85065010,90067009,108079005
10,0,0,82058001,144109035
10,0,91071014,90061000,100072007
10,0,0,96073001,97065000
10,0,84066003,84052003,104072000
10,0,0,96067000,122090002
11,0,0,57050030,70068035
11,101070028,61058029,48049032,69063034
11,107087052,60057042,62058034,63060031
11,83079051,77066037,64056027,71064039
11,151137118,79075050,57057033,64055028
11,104090048,85073041,59059029,73065038
11,78069035,71064037,55051030,63059032
11,76068039,114116087,65061036,69062035
11,91075039,92103101,59053030,78068034
11,125105064,162160142,52048023,75073043
11,95086053,89090071,90089068,89078050
11,164174182,104113100,107085037,84075042
11,0,122126115,102081045,82077046
12,27083086,19082089,24072073,23073073
12,53103105,27076078,26087078,40098097
12,47105107,26101101,31085082,53110107
12,53111110,23085085,37090087,46106106
12,50103104,45095101,56111114,51105112
12,67123134,42093096,38088088,46100101
