0,1,2,3,4,5,6,7,8
1,0,1001001,1000000,0,0,1001001,1001001,1001001
1,10,0,0,1000010,0,1001001,1001001,1001001
1,3001001,0,13011011,0,2000000,5000001,6000001,2000000
1,5000001,1001001,7000000,0,4000000,2000000,2000000,2000000
1,4,0,5000001,10,2000000,4000000,1000000,0
1,6,0,6000001,8,2000000,2000000,2000000,0
1,8,1001001,4001003,10,0,1000004,0,0
1,8,4000004,7000001,1009,0,1000002,0,0
1,14,0,0,18,0,0,0,0
1,1000009,0,0,10,0,2000000,0,0
1,10,1001002,0,18,0,0,2000000,0
1,10,0,0,14,0,2000000,0,0
1,7,0,1,14,0,0,0,2000000
2,1017045,1016037,11102131,6096130,49140161,37122146,25112130,39129149
2,40066,1025055,4024053,6062102,60148172,55142166,55141163,58144166
2,8032,1026,21053,5075109,25112138,39121139,30116138,42128150
2,15091116,45069,3050088,24054,48132154,42131152,46124147,48133155
2,1009029,31056,3010035,2024055,22114133,26121141,39144168,32130154
2,10034,1007036,1017059,2036072,36135155,33135154,26126148,35142164
2,1015043,19047,10034,31083,55151175,41134157,37125149,49142165
2,45131160,55118138,41116148,36106136,94153172,75137147,67130148,80139154
2,49113137,28118155,59122146,40109132,83150171,76134153,75131148,70134154
2,44117138,54120143,61129153,53124150,95155171,88147163,80135153,84143158
2,12086112,23097121,86114,7084117,47132154,39124145,37112130,52128151
2,17091119,1033055,6060099,34108136,50134158,47122140,43117135,51131156
2,25099127,23098120,26109134,25100122,64137157,52122139,54130149,54129147
2,39106129,34097118,31095126,43125161,53112131,83138153,79131147,84144160
2,63136157,32128165,3023054,70134158,100163184,92151166,95147160,73124141
2,50113133,1023048,56126149,62141171,95156170,86138148,87142157,95155167
2,6074094,25090112,6058097,41152191,94153172,86154177,72137158,83147165
2,43110133,42134171,8101162,54177229,92153172,68127143,66128146,70131150
2,49122142,3054073,52092,44125150,106168186,98159169,85146160,102164175
2,43111134,40108127,30111137,33105129,82145166,70136157,67128147,47110131
2,32108131,10031053,2027059,24098122,68139157,63132152,49122140,70141163
2,10045069,1020048,4017046,19076111,65137155,55125144,55127144,60132150
2,26100128,22097120,36111134,37110130,82151170,57128144,56128146,66135153
2,14091114,5041065,5006037,22099128,71144164,54123142,51122140,71141158
2,38103126,34101123,49112133,35105129,101164184,74134146,76136148,51111133
2,43105129,40106125,14094127,33108134,89148162,76131145,71128141,75132155
2,23100132,37105128,52115139,38101122,82139153,64128159,71132146,85142162
2,29090110,37103128,26096120,28098118,39102121,70130150,74133149,75134149
3,88103152,57047076,43052109,102078113,134122144,95085106,74063089,80071097
3,87074120,149132178,34031080,31024054,103090112,95082104,94080104,110099127
3,72068098,44042078,55047088,24017051,115102126,93081107,115102124,117104129
3,82073100,21009029,140155217,60066103,118106126,98089110,84075096,93086113
3,0,0,0,0,88079100,85075092,97090109,86078099
3,0,0,0,91090120,91080100,87072089,104105126,88080101
3,0,0,0,109098122,92085106,76068089,93080094,84076097
3,65059082,96084102,92079103,71066098,92082103,78069089,94078097,86077103
3,77069092,92082105,87080110,111100123,99089115,93080104,43041063,94081105
3,63059083,74068093,46045072,69064093,80065082,84073093,84073093,86073095
3,78071097,76067087,119100121,77075105,80074097,62053075,102084099,77069092
3,0,0,0,100097119,107103128,107095117,102090110,95084110
4,35059085,65089107,57084110,46076104,72093115,66083102,89113131,64083104
4,10030052,47074096,56083109,39072105,77096117,49073097,61077094,77092111
4,35062088,35062088,96098108,87109124,69092112,51078098,44064087,51079104
4,48077107,37067092,49073094,135155189,54089114,52072089,53069092,62086108
4,40070097,56083104,73099125,57091121,64091118,61085105,76100120,58085106
4,126117117,114123134,54077099,72106132,74102132,35059079,46067082,60079096
4,48072095,64090107,93115137,63092119,62086106,56080098,50076097,55076104
4,1004035,45073097,62090119,2026,63086108,49076102,54071099,58083109
4,7030063,9042083,100124145,86110137,85105128,62087109,62084109,79103125
4,40076112,29060099,30084,27066106,58089120,43072103,39069098,45076107
4,3029069,49086114,96139182,13049097,80110139,72104130,65103133,61096129
4,2020057,63100137,66107140,2019058,84114139,88127159,62099127,89121149
4,2029067,39075115,18062118,1014062,76109144,70105139,34067100,35072107
4,34074116,40079117,55095134,37078117,58095133,31066102,54087122,57094132
4,28067105,37078111,41076125,25070113,47086124,38071106,46079112,36072108
4,28064092,10059104,24061098,17058097,39072105,24054085,27058089,39076110
4,17060103,22062097,25068111,22060102,47081111,29059088,33063089,40071104
4,34065096,36070099,35072110,30069107,69101129,36062086,28052072,51074102
4,26059091,29070099,39076111,24062097,62088114,39062088,22048072,57096132
4,51082114,36080122,2018066,21056102,96124154,60090119,58083110,52083114
5,0,0,0,0,1009106,1001099,90,1010114
5,0,0,0,0,1000103,1000094,2002102,94
5,0,0,0,0,1014123,3006114,1010122,20129
5,0,0,0,0,95,88,1000096,94
5,0,0,0,0,89,90,86,1001091
5,0,0,0,0,1082,1000074,88,1092
5,0,0,0,0,1105,95,88,1002112
5,0,0,0,0,98,1000093,1092,1092
5,0,0,0,1006125,1004121,104,7007121,1003107
5,0,0,0,0,1001091,76,76,100
5,0,0,0,0,78,80,1001085,96
5,0,0,0,0,1003097,88,1001079,94
5,0,0,0,0,1109,112,1109,1000110
5,0,0,0,0,2005110,1096,98,111
5,0,0,0,0,1001091,2000099,90,1001095
5,0,0,0,0,1000080,1000074,1069,2001093
5,0,0,0,0,9113,1000086,1099,1099
5,0,0,0,0,1000098,1000092,1089,1000103
5,0,0,0,0,1091,1099,1001095,2005107
5,0,0,0,0,10117,1093,1000080,2007110
5,0,0,0,2007109,1099,94,95,4103
5,0,0,0,0,4109,90,2001098,101
5,0,0,0,0,100,1096,1089,1000093
5,0,0,0,0,1000081,3000086,1000080,1001091
5,0,0,0,0,1081,1075,2001075,74
5,0,0,0,1001109,1089,1000093,98,88
5,0,0,0,2004117,1100,1087,1001091,1000101
6,34,40,1069,1000020,1069,60,64,1000062
6,1001019,2001035,1001064,1047,2001067,60,64,1000066
6,1022,1000020,1047,17,1000072,1000064,1001085,1062
6,1000055,70,1000080,77,70,70,70,2001069
6,34,2000042,1081,2000066,64,1000072,3000072,85
6,2000069,1000072,23,1001065,1000096,1000066,78,1091
6,59,2000031,1000027,1001071,2001075,70,2000070,1000094
6,1000061,57,1043,1039,1082,4001073,76,102
6,2000035,7004103,1000098,33,94,3000078,1000072,90
6,1057,1000019,1000020,24,90,2001070,1000068,1000065
6,58,1032,60,3001059,1001084,1000062,1000064,2001065
6,73,102,36,1000036,80,1000074,2001079,88
6,1000032,4001076,2000043,1000036,87,1000068,76,1000074
6,53,54,2000076,25,1000058,60,64,1000050
6,45,0,1000067,17,54,1000062,2000053,2000053
6,40,1001049,1000063,1039,2000052,1001049,54,44
6,1001049,73,1000039,1000050,48,1052,46,1001049
6,61,1059,1000056,50,60,1000050,2000061,1000050
6,45,0,1000062,1000046,2000059,1000056,1000064,1001061
6,1000050,2000065,61,1001049,60,58,60,1000062
6,1001060,0,1062,1000050,1052,48,1001049,1000051
6,0,0,0,1000049,1000044,1049,1000050,1000050
6,0,0,0,2001052,1052,1000044,1000044,55
6,1000057,0,2002105,2000071,1000058,45,1001054,1000050
6,2001068,79,1000055,1058,60,65,3000055,1063
6,0,0,0,2001066,1000056,1000056,2000068,1059
6,1052,2001068,1001082,1000050,1052,2001051,2001045,1000044
6,89,1059,100,3001060,58,54,2000054,1001049
6,1000050,54,60,54,1039,1000050,2001050,1001041
7,52002002,31001000,38000000,80000001,84014014,70009007,70013012,52000000
7,48000003,70014013,140027037,36000000,80016012,66003003,56000000,63008008
7,59004006,72014012,15000008,140005001,83013013,69003004,60002001,55005005
7,51002002,65001000,31001001,40000005,64003001,60003004,62002003,78017018
7,59001000,64005009,100024027,36000000,90016012,66000001,62000000,90018018
7,72008009,73019026,73004011,85000002,81011008,75006003,71001001,78012013
