0,1,2,3,4,5,6,7,8
1,0,173255004,120255002,0,0,1,0,0
1,255010,0,0,177255010,0,0,1,1
1,75004129,120003148,98021135,98021131,120255002,120255002,120255002,120255002
1,126213006,255005,120027019,1,120255004,120255002,120255002,120255002
1,255004,0,1,255005,0,126255005,120255004,0
1,255004,15255002,120255002,255008,120255002,0,120255002,0
1,255008,140255003,0,255010,120170003,165255002,0,0
1,255008,140255003,6106012,255010,165255002,120170003,255004,120255002
1,255014,0,0,240017,0,0,0,0
1,255010,0,0,255010,120255002,0,120255002,0
1,255010,173204005,130230010,255018,120255002,0,120255004,120170003
1,173255008,165255002,0,255012,0,120255002,0,0
1,177255009,0,0,255010,0,0,0,0
2,15255097,7255046,15255055,4255046,24179160,24199128,25184141,23179161
2,17239065,13245051,13255053,18250104,25160166,24161168,24174160,25159178
2,1246028,255026,8242061,255025,23191147,24183145,23204136,23188148
2,12230040,11255056,13252078,17255085,24179140,23179157,24188144,23171164
2,6246027,16246054,13249042,13251069,25207139,25220131,24215141,25192155
2,10255047,9248039,15255075,10223048,24188159,24194154,25207142,25204166
2,12255043,16251071,15250052,14237101,25179172,24188160,24199146,24184162
2,22197170,23177125,19239095,13250051,22109185,25132141,25127145,24121156
2,22171133,22255149,17206083,22206187,23127165,24127151,24135142,24126150
2,20228105,24229089,22190149,21178133,25100178,24118162,24121152,23123162
2,8255031,15158068,1255022,255024,24175153,24182140,24185131,24171149
2,17255056,6236041,11247063,6247030,24174155,23164152,24174129,24182132
2,11255041,5255025,10240067,8237043,24159151,24170132,24161146,24163156
2,19218160,14255045,20253143,14255046,23144149,23114152,24119141,23105172
2,16229058,21243151,18255087,20247065,26111158,26109162,24113154,24103159
2,21251118,9220044,20151176,21162121,24114166,25104144,24115155,25108166
2,21255106,19255089,18255107,23206181,23115173,23122170,23141152,23128165
2,21204165,23214161,18234168,24174255,24117165,24121165,23144142,23127186
2,22213120,21248170,19255098,22195136,25102183,26111165,23122167,25109169
2,21179135,22207149,20219168,23186207,23125167,23132160,22137168,23165130
2,15229059,255016,18227111,179241036,25131166,24150143,24159141,23158147
2,12249040,13247064,13230060,8255046,24144154,24157143,23158147,23150146
2,3255031,16245131,3220051,13255055,25128167,24156141,24158144,24150150
2,19234136,14246058,9248035,5255033,24150153,24163138,24165144,23141157
2,21255109,15255060,24241108,19227153,23113181,24127149,24122155,24142140
2,20190242,23198216,21225190,23150175,22132154,25124144,25128139,22127156
2,22212233,22214112,20231117,20201222,25116154,24133144,25128143,22129154
2,18244093,21241075,20250158,27158087,23174119,24135136,23129144,24127149
3,155105080,173123083,3154106,165092103,162041138,164054104,167056096,167068097
3,173098120,162057179,176146082,161124068,164056110,162051110,164062098,170060127
3,164130055,176140071,173131082,167216033,162047119,165061108,162049115,164049126
