0,1,2,3,4,5,6,7,8
1,0,0,120255002,0,0,1,0,0
1,255010,0,0,177255010,0,1,1,1
1,13119015,0,16,0,120255002,120255002,120255002,120255002
1,126075017,255004,120036014,1,126255005,120255002,120255002,120255002
1,255004,255001,0,255005,0,120255004,126255005,0
1,114010124,110006135,101027132,110005140,120255004,120255002,0,120170003
1,255008,140255003,0,255010,120170003,165255002,0,0
1,255012,173255004,0,255014,0,120255002,0,0
1,255014,0,0,240017,120255002,0,0,0
1,255010,0,0,255010,120255004,0,120255002,0
1,255010,173204005,130230010,255018,120255002,0,120255004,120170003
1,120235013,24015085,122255014,255006,0,0,0,120255002
1,177255009,0,173255004,255010,120255002,0,0,0
2,16255096,7255046,15255055,4255046,24179160,24203128,25184141,23179161
2,19248068,13255050,13255052,18255097,25160166,24161168,24174160,24156178
2,1246028,255026,8242061,255027,23190146,24179145,23204136,23188148
2,12230040,11250056,13252078,17255085,24180142,23177157,24188144,23171164
2,8255027,16246054,12249044,13251069,25204139,25220131,24215141,25192155
2,10255047,9248039,15255075,9213048,24188159,24194154,24207144,25204166
2,12255043,14255063,16255055,11255086,25175173,24190157,24193148,24186163
2,22197170,23177125,19239095,14255051,22109185,25132141,25127145,24121156
2,22171133,22255149,18209083,22206187,25128163,23123151,24135142,24126150
2,20228105,23230092,22190149,21178133,26099177,24117163,24121152,23123162
2,179255020,17245050,1244023,245025,24174154,24177144,25185131,23167148
2,15255054,6248038,12255065,3255027,25166157,24173136,24175128,23181135
2,10255035,6255026,11248071,12255057,25156155,24165136,24162145,24161155
2,19218160,13255045,20253143,13255047,22149151,23118153,24119141,23105172
2,16229058,21240151,18255087,20247065,24109159,26109162,24109154,24104160
2,21250110,9248039,22155183,21180119,24114165,25104145,24113158,25107167
2,21255105,20255088,18255109,23206181,23115173,22122171,23141152,23128165
2,21207165,22211163,18230166,24174255,24117165,23122167,23144142,23127186
2,22218110,20249139,18255089,22205128,24103185,26114168,24125163,25107171
2,20175137,22240139,19215177,23221193,23125167,23129168,23140157,23164131
2,13250049,179255020,18243085,179241036,24134165,23149145,24154146,23153152
2,12249040,13247064,13230060,8255046,24144154,24157143,23158147,23150146
2,2255030,15238123,2255041,13246057,25137170,24153143,24158144,23149152
2,19234136,14246058,9248035,6255033,24150153,24163138,23161144,23141157
2,21255109,15255060,24241108,19226152,23113181,24127149,24118155,23144142
2,20173243,22197201,20217194,24158190,22132153,24124148,24127144,23117168
2,22201230,22236106,20243107,22195209,24121152,23131150,24131146,23127155
2,19244091,21241074,19249158,26159088,23174119,24135136,23129144,24127149
3,155105080,173123083,3154106,165092103,162041138,164054104,167056096,167068097
3,173098120,162057179,176146082,163118067,163056110,162051110,164062098,170060127
3,164125057,178128072,173122088,167216033,159050117,165061109,154051114,164051121
3,159206026,169255011,4087215,191040,162043120,167054123,167055092,172061112
3,174074093,162045097,163061101,164066093,166044099,167055093,156056095,173053102
3,178079094,173062087,167053125,179077106,170050107,167055092,153062074,170051105
3,167055092,160052088,156045091,176065098,167053102,160051090,148044087,167056095
3,172072082,160040115,167056095,176069093,164080070,164053096,148046084,170073091
3,167084070,167060110,141073091,164185033,164055112,164058096,173089060,167048112
3,175066112,117115104,177230010,255015,160055084,164054095,159047086,164055102
3,175080092,171059082,146048116,177070095,170059100,171061080,141053101,164066093
3,178066112,170054123,164047130,174066120,167041130,162045114,162049115,162046123
4,6255035,9255054,255018,255029,12071129,15114096,13088098,15082134
4,4255028,11245051,230020,1255029,15080111,15127090,13080105,13071118
4,8233034,179243021,99086086,174177023,16103114,18116086,13129089,17138089
4,12220066,15184148,14125147,16179107,14154096,16107088,13096090,16098114
4,255015,5244047,108055079,4255042,15117118,17104103,13095110,14112112
4,17167099,16137106,14134099,14141112,14082125,15180075,16097100,15103104
4,15156111,17134105,13223063,12163089,18100110,17107100,17122094,14144087
4,4255035,11255074,9255059,179255020,14109115,12136086,14111113,13111110
4,12201066,13249080,15115137,15097139,16090125,17112107,15104103,16100128
4,11255082,9252075,12250094,5255051,15130122,15151101,15146103,15160102
4,13228122,11247096,14246112,12227108,17106142,16126127,18115129,15129130
4,11251072,13253107,10255049,10255056,16108132,16124125,16118132,16113145
4,10229089,13232088,15219112,9255066,16146115,16125145,15170108,16150124
4,15220095,13255091,15162135,16207107,16137132,14160107,14133144,15152124
4,10251065,4251067,8255057,15211115,16143127,15136141,15136141,15172110
4,8249041,11236093,17232098,15221097,15168094,14187079,15178089,15148114
4,15205102,6255069,6255067,12222085,15148114,15177085,14173087,15174097
4,6249043,5092111,9252077,14199096,15116119,16140080,15159072,14124119
4,14233071,10255061,8189073,3255041,13117105,16148079,15169077,16163147
4,9255038,9255077,6243063,9251060,15098153,16127114,15125104,15145109
5,6251120,1253110,2253117,4239143,2255106,255095,255090,2255109
5,2253113,1255105,1255110,3238132,255104,255098,255102,255095
5,3255117,5249127,8252161,7255148,4255129,1255110,2253114,5253132
5,1250112,253109,3232153,255084,253104,255088,255096,1255104
5,255075,252095,1255120,255056,255096,255096,255085,255090
5,2247130,2253128,1248137,249129,255091,255076,255084,255102
