0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0,1,0,1255029,1,120170003,110255003,0,1,110255003,0,1,0,0,0,0
1,0,0,255004,255008,0,0,120170003,165255002,1,1,0,1,0,0,0,1
1,173255004,0,120255004,140255003,255001,10,132053024,0,120255002,120255002,120170003,120170003,120255004,120255002,120255002,120255002
1,0,173255004,120255004,140255003,165170003,126142009,126067019,0,120255004,120255002,120255002,120255002,0,120170003,120255002,120255004
1,165255002,120255002,177255010,165255002,126255005,120255004,126116011,3255009,0,0,120255002,120255004,120255002,0,0,0
1,114010126,132011121,126010122,103012143,142,103017135,103031133,103012147,120255002,120255002,120255002,120255004,0,120170003,120255002,120255002
1,255008,15255002,3255009,173204005,120170003,120255002,126255005,255010,0,120255002,0,0,0,173255004,120255002,120255002
1,255008,255010,3255009,255004,0,165255002,255004,255014,0,0,0,120170003,165255002,140255003,0,0
1,255010,120073084,255008,0,0,0,0,255010,0,120255002,120255004,0,0,120255002,0,120255002
1,255010,255004,255010,0,120255002,0,255001,173255004,0,0,126255005,120255002,120170003,126255005,0,120255002
1,255006,120255030,156255005,120255002,0,126255005,14046255,255014,120255002,0,120255002,120170003,120255002,0,120255002,120255002
1,15255002,15255002,133025071,6011117,120010051,120246027,120255020,255010,0,0,0,165255002,0,0,0,120255002
1,255014,255005,255012,15255002,123255021,126255005,124255008,255008,120255002,0,0,120255002,0,0,126255005,0
2,13250049,16235077,10255036,15251061,5226026,10255036,10249040,11255052,24175156,24172162,24185152,24187153,24182143,24203133,24175160,24183149
2,18250101,15245107,17211115,11244093,15255062,7255052,245025,14255058,24173162,24164166,24169161,23172163,24165164,24166163,24178166,23170165
2,18252090,13255044,8255033,8255046,9230050,12255051,11255061,10252088,24169169,24174158,23192145,24174158,24184150,23206140,23191147,23179157
2,8243041,1208027,14255082,4249042,5247031,7246054,11248071,5255035,24176151,22172153,23177148,24179145,24176154,23198142,23187147,24189143
