0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0,0,1,0,0,255036,0,1,120170003,120255002,0,126255005,0,1,75255002,0,0,0,1,0,0,0,0,0
1,177255010,0,1,255010,6255005,173255004,0,1,1,0,0,1,1,120255002,1,0,0,1,1,1,0,1,0,1
1,0,165255002,0,13119015,13064028,255004,0,1,126255005,16,120034015,0,120255002,120255002,0,120255002,120255002,120255002,120255002,126255005,120255002,120255002,120255002,120255002
1,1,0,0,126075017,11078026,255004,255004,120255002,126255005,120036014,20055014,0,120255002,120255002,120255002,126255005,120255002,120255002,120255002,0,120255002,120255002,120255002,120255002
1,255005,120255002,0,255004,255008,255004,255001,1,0,0,120028018,255010,0,0,1,0,120255002,120255002,120255004,120255004,120255002,126255005,0,120255002
1,110005140,106023120,156010124,114010124,110006123,126008156,110006135,120003147,87016148,101027132,104025135,90012133,120170003,120255002,120255002,120255004,0,120255002,120255002,120255002,120255002,0,120128004,0
1,255010,3255009,60255001,255008,255011,255006,140255003,173255004,173204005,0,0,3255009,0,0,0,120170003,0,0,165255002,0,0,0,255005,0
1,255014,255008,255006,255012,255011,173255004,173255004,0,0,0,0,255010,0,15255002,165255002,0,1,120170003,120255002,0,120255002,0,0,0
1,240017,255010,123255026,255014,0,0,0,0,0,0,0,0,0,0,0,120255002,0,0,0,0,0,0,0,165255002
1,255010,255011,165255002,255010,255008,0,0,0,0,0,0,165255002,0,0,0,120255004,0,120255002,0,120255004,165255002,120255002,120170003,120255002
1,255018,255004,177033148,255010,255014,0,173204005,173255004,125255006,130230010,165255002,255004,120170003,120255004,0,120255002,0,173255004,0,165255002,0,120255004,0,120255002
1,255006,255004,0,120235013,163032072,35013116,24015085,103046050,118255027,122255014,122255018,173204005,120255002,0,0,0,120170003,120255004,0,0,0,0,120170003,0
1,255010,255014,145255006,177255009,255018,255014,0,0,120128004,173255004,0,120255002,0,0,0,120255002,120255002,120255002,0,120170003,0,0,120255002,120255002
2,4255046,15251061,16255070,16255096,10238088,18243107,7255046,13255046,12250047,15255055,245025,13243062,23179161,25166155,24165167,24179160,24186147,24169166,24203128,25186136,24176151,25184141,24187153,24184155
2,18255097,15255070,16255122,19248068,17239078,13255084,13255050,20217108,11248069,13255052,14230062,11255063,24156178,24160172,24162170,25160166,25172156,23211133,24161168,25165165,24170162,24174160,24173159,23194143
2,255027,17239079,11238044,1246028,10240035,12255051,255026,5255039,13255062,8242061,9255070,12255099,23188148,24173158,24180152,23190146,24185145,24183146,24179145,24182146,23198138,23204136,24184148,22168170
2,17255085,15255066,14255057,12230040,14255076,8255057,11250056,13236053,10231063,13252078,9255070,2255038,23171164,24173155,23185150,24180142,24177153,24183149,23177157,23175159,23221112,24188144,23168153,24182147
2,13251069,13255037,16245107,8255027,11255082,12249087,16246054,1255021,255018,12249044,179255020,4239031,25192155,25199155,24196152,25204139,25210130,25228122,25220131,25213135,25208141,24215141,25232135,25202153
2,9213048,8255048,13246082,10255047,11255055,10251057,9248039,255021,11244069,15255075,18255100,12255070,25204166,24204145,24190156,24188159,24181169,25202144,24194154,24200149,25200154,24207144,25219134,24207143
2,11255086,6224033,13250050,12255043,4238044,10255052,14255063,9255052,14252077,16255055,12255070,14255062,24186163,25184168,25172176,25175173,25196161,25196160,24190157,24185154,24190153,24193148,24200148,24186156
2,14255051,23241126,22200154,22197170,24171160,21221113,23177125,20255120,22202188,19239095,18252084,21255143,24121156,24108165,24110167,22109185,24126154,26115160,25132141,25127141,23132141,25127145,24119161,22129158
2,22206187,22205133,23204120,22171133,20224130,20203103,22255149,19167134,16255070,18209083,20230173,18250096,24126150,25112166,24124156,25128163,24118168,23132151,23123151,23126148,24128143,24135142,24132139,24127148
2,21178133,23188134,22255090,20228105,20246141,27152255,23230092,16255056,20233187,22190149,20201157,24217174,23123162,22148138,26114161,26099177,24123155,23120166,24117163,25121147,24130153,24121152,23114163,24112169
2,245025,14255057,9234037,179255020,14255048,11255056,17245050,12247062,16252078,1244023,13244047,11251060,23167148,24167153,24159152,24174154,24189144,24181148,24177144,24182133,24172141,25185131,24184129,23159136
2,3255027,6242039,15250049,15255054,18224066,13247065,6248038,4239031,10255041,12255065,13255072,12244048,23181135,24163150,24173155,25166157,23162153,23181138,24173136,24181127,24182129,24175128,23189131,23192137
2,12255057,15244047,16238060,10255035,16242097,17247067,6255026,15255072,11255049,11248071,10251069,15236081,24161155,24144166,24150160,25156155,24161147,22169137,24165136,24167131,24161138,24162145,23162153,24148160
2,13255047,15247061,26165148,19218160,19246087,18252099,13255045,21208131,20241071,20253143,11255043,22211122,23105172,23116160,22172117,22149151,24127151,23125159,23118153,23122149,24130147,24119141,22124161,23126144
2,20247065,27161255,18255077,16229058,27177121,17240084,21240151,24117142,22237140,18255087,17255049,23141255,24104160,23100173,24108161,24109159,24106164,24106163,26109162,24105165,25101164,24109154,23109171,24122157
2,21180119,18207175,19247092,21250110,18226184,20253156,9248039,19242079,19247099,22155183,19186167,19255094,25107167,24123155,24105170,24114165,23105177,24114161,25104145,24127153,24129142,24113158,22123156,24125151
2,23206181,19249089,11248036,21255105,22210097,20214113,20255088,18255097,24180254,18255109,19253135,14244068,23128165,22132153,23128164,23115173,23129158,22150146,22122171,24129148,24124152,23141152,23117155,23127162
2,24174255,18240067,17247067,21207165,21255062,20213102,22211163,23226122,21205221,18230166,20231172,17249081,23127186,24147128,24116150,24117165,23121177,23130165,23122167,23130167,26132145,23144142,23130153,22132153
2,22205128,24168223,22203181,22218110,23196139,20206150,20249139,21181240,22230140,18255089,20195208,22173178,25107171,27103174,25098189,24103185,23115177,24119200,26114168,23113180,24108180,24125163,23114181,23125157
