0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,65145165,95255026,87255035,94255029,86169071,84255030,83255018,98249044,95251064,92255057,96255038,95242019,94255030,93248035,97255049,97255049,90255075,97255044,97255057,100250056,96248074,94255068,88250053,91255032
1,93255031,94255024,88255019,82255029,74249043,85249044,75246027,84255080,98246028,95239065,102255023,90227018,94245049,92255055,95228065,93255049,92255054,92255065,94251067,93247066,91255052,93255053,90255065,97255055
1,91255027,97228028,87255019,80244024,75255040,89249043,84255030,84255094,96255025,94255057,100244023,87255019,96255048,91251061,94255056,96192073,94234061,91255070,97247064,94251062,90255054,92250054,89255066,97255056
1,93255079,90255078,88232076,83255049,86255047,101255053,92253102,93240069,86255063,97247101,91255082,94255064,95252100,95255088,92252091,95212124,94255081,93250108,93255083,92253113,89251115,94255102,94255108,97255099
1,100233046,91251060,91255038,95255046,89249040,88255029,94238044,90255040,88235039,91255039,89224050,88239049,92214106,92179107,94196087,90147080,87218076,89228056,92220087,93229078,95214087,94178133,96207111,90233081
1,93251066,95255046,87240034,61158068,92210057,96108080,86245026,97255042,91255028,93255033,86255025,90255045,94231096,94202086,91201057,92178076,93255057,97173065,91204070,92255080,94252085,96255070,94203112,97249091
1,88255016,90238015,87213012,80255012,90255047,79255062,88255016,87255022,87248036,96255046,89196026,85255026,91244045,93203078,91249046,94210085,93210108,93245078,95203089,91192069,91255043,91255048,93255050,91188068
1,76255015,78248035,72255017,63255020,71249041,60255021,77255074,76247062,82250053,77255048,80251066,80240035,84255062,89247064,81248074,85255061,85255066,84255061,84252090,89255062,86251064,84250054,87238061,86251066
1,88194021,87221030,87189027,100222054,67184025,73232078,103227036,89238074,88227055,95188023,93230050,91223040,85225060,89229049,90220072,92230060,93246056,90222085,89237086,88240070,91225067,91202053,93234048,88222070
2,101247061,105071119,100069133,101255066,102255105,103166083,69037090,101231095,104255046,103237144,100255092,101144092,105255057,98255181,85030255,104245078,100255086,73047255,97157187,100219105,98250107,101219098,99213098,88095213
2,103104081,102163089,99199137,101255035,100075112,98135096,89106048,101097124,101181103,60032153,102154076,90022255,102062147,96093227,101234121,90034255,102152153,102092122,99089255,100153113,105251071,90051179,94072217,98029134
2,102232098,101184119,103087094,90031255,100232167,104255032,103174072,101205138,60255007,100094060,99070165,100195051,103251118,101244095,102179104,89043255,102255217,104226104,102159144,101190082,102224115,103203098,100255070,101223079
2,103196082,97104128,29028255,105255211,104243062,102255025,54038196,103199100,95143032,100188111,99155092,106255063,105255032,90047255,90022255,94158092,103182080,91026255,102224074,103252094,95147156,103255061,85119101,97179077
2,99123149,40031255,100131128,103119180,85033225,100155197,99112216,90133115,91069255,90004255,94115113,101139101,101255134,102192220,90022255,104129218,105127116,102226052,102235065,96076242,98047082,101216222,17041173,107038127
2,23147191,90018254,17035245,66020125,101046117,92047173,105106058,165007073,101062145,100123052,94100128,103121131,101068131,102066085,100104088,93040126,97090102,96084103,103087094,103147078,102052112,99083104,101099090,101076091
2,100090201,109247101,98092072,103113113,116255020,105050157,104175099,102198094,111248036,104250050,106071255,94055230,105235063,111255031,116255033,111255017,120235013,101185011,106026147,103178090,102032241,46023190,90033255,16021178
2,34072255,102251067,102152111,101210074,104247067,99123188,84046194,108255046,33069115,102160118,94118078,88039255,101195137,103110132,101223102,101221127,97130133,100148159,102253108,100255103,101232109,99115118,98164171,103255103
2,103165091,100251067,94159080,99140069,51078085,95095164,99177049,103133073,99142131,100099100,91053105,99141134,102164152,107255067,99255037,115013118,89088113,103229068,104053234,104144142,97152104,104036189,100228084,88102113
3,100087138,101048090,92061137,17076141,23118180,30057255,20064216,30023087,65036085,56031117,43078078,35065118,29041137,25006254,104046105,101017120,111019136,95039084,103019092,87036071,85035087,38035108,20059185,56023087
3,25026174,39042085,26065114,84061063,21112187,20094187,74044075,66040064,21134205,18110090,22103233,61057117,106116125,101036122,24036179,96088075,98048080,103047086,104056087,102079074,102089086,102087088,111052113,51012146
3,32083055,80022103,29121061,48065051,38056050,98034149,28039163,48048053,56027076,23111133,22069093,30110163,106055070,30015136,60026069,66030043,93068041,104085039,106147045,65,36024053,83016063,80027057,106041069
3,31065156,33067111,26092116,27105156,28089154,104071047,106048058,20100125,24072106,26111046,31093157,27075078,75004131,109025082,96025052,103034053,96028046,98065043,105127036,24019067,42024053,66020064,35024065,113068045
3,23190165,29086171,100110146,98049057,80040076,26046111,22139075,29057098,24062115,21114085,34051070,35105056,80030077,96040063,103083049,103100041,101077056,74048059,54050071,34032063,98052074,98017164,109047115,80034067
3,19091208,37057103,56036056,26107170,26095217,22037181,105055111,95062090,31053155,92054122,104065074,46048080,101046094,102062094,39017206,98039098,90015103,99073066,83013078,101132052,13019096,79034083,40025093,43037096
3,20072222,24066127,48039066,21088180,20079226,26027162,102046128,50006123,30040153,90047129,91089083,67040083,101033108,100058097,40013180,85031099,87023098,98048079,90018086,100086074,19015137,60019092,30005100,32031116
3,67047071,37048091,90060060,79046061,35064076,45032096,69052064,92059065,95052059,34055097,70013118,74052064,31083145,112044087,38012232,116030119,92042091,79,101067065,101059073,101107050,40024094,35041081,35017092
3,60044070,38040095,88070058,87038061,34072074,43048075,76058066,95045073,95054061,33049110,87018126,69053063,31111131,111033099,35015218,111028119,90049083,75006079,98072071,101068079,102105056,43021087,34025083,38030092
