0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,93255053,77255091,90255066,78255075,86182132,94255029,86251066,90255013,84255036,81255017,93255059,101255054,91252097,91239096,98255048,87208086,87255032,92238044,89255033,93255033,94255038,84255067,98250051,90255075,100255038,97250053,98255051,97251057,98255090,95252076,92247060,89255044
1,97255041,80255020,91255052,85255029,86255022,82255029,92255053,91249044,97245026,87237028,99255023,87243044,102255022,92251070,98245053,90240017,94245053,91255059,94255051,92255050,92242060,94255068,93255055,92255054,95255049,92255066,91255051,93251066,94246058,95246054,94250052,92255056
1,94255036,79255021,88255048,86255028,86255023,80244024,92255062,89249045,98255026,85255030,95255018,89249043,92255015,93251071,97251057,93255020,93246055,90255062,93255049,95255053,95193090,96225068,95255063,94234061,97255058,92237071,91255059,94247063,94238060,95255057,93250054,91246059
1,96255069,92255073,91255084,93248077,78189142,83255049,89255032,92255047,68238103,86255042,88251063,91255041,97255063,94251068,100246059,91255084,96255098,95255094,95255100,96250094,94250099,95255091,94240084,94255081,94255077,94255093,93255089,92251118,92255111,91255089,94253106,91255109
1,82191076,84255028,90157078,89236054,91255049,95255046,88255088,90179077,86255038,92249042,85255030,89255031,89255030,93249040,89249040,86099100,91223095,90230083,88158084,93154124,93189081,89160089,89121097,87218076,91232066,91235077,94237085,90216072,95140104,95218103,94214111,93205102
1,95219071,94255057,94255028,92255033,85255022,61158068,84255037,92221067,88252086,86180099,91249040,84165105,86255034,89255026,88255045,89255041,97255084,96236096,93252081,93223080,91211052,92196095,90148069,93255057,94134078,89210068,95255063,93243082,92191100,94242096,96252073,95231096
1,87249083,90255014,75255014,80219014,75255016,80255012,95255028,89243021,85244045,84255015,89249043,96255092,91238046,90255068,85247030,88255075,90175067,91171076,94213061,93255055,94255037,94255083,95148100,93210108,96255064,95236095,96255046,92226061,89158068,90242057,90244048,93255052
1,70240066,84255016,80255076,72234024,71255043,63255020,58255018,64255015,61255023,68162132,68255033,78248105,80255077,75255059,79255078,82242038,86255063,84251061,81255084,84255065,83191099,86236068,85255071,85255066,82255074,82255057,91255076,88251066,88255075,86255047,85255050,85251063
1,92224041,89204025,84202024,76227054,88224041,100222054,84214044,98228056,88226044,103215038,91225059,98213024,90197031,98176029,88241073,92229058,89229069,93222069,86233069,89235064,91237056,92225059,91228075,93246056,88243083,92226078,88230083,89235078,88228066,88230062,91234062,88226044
2,103246059,102238074,107255047,103255076,102193070,101255066,100255242,90109255,98167099,90084255,101255044,89083252,108243041,103246087,104255034,110255033,98118246,100251064,97188084,98253125,103245074,98233091,101232146,100255086,93028255,101245100,96082255,99212101,96176196,103251071,94228188,91106254
