0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,92238044,89255033,93255033,94255038,84255067,98250051,90255075,100255038,97250053,98255051,97251057,98255090,95252076,92247060,89255044,0
1,91255059,94255051,92255050,92242060,94255068,93255055,92255054,95255049,92255066,91255051,93251066,94246058,95246054,94250052,92255056,0
1,90255062,93255049,95255053,95193090,96225068,95255063,94234061,97255058,92237071,91255059,94247063,94238060,95255057,93250054,91246059,0
1,95255094,95255100,96250094,94250099,95255091,94240084,94255081,94255077,94255093,93255089,92251118,92255111,91255089,94253106,91255109,0
1,90230083,88158084,93154124,93189081,89160089,89121097,87218076,91232066,91235077,94237085,90216072,95140104,95218103,94214111,93205102,0
1,96236096,93252081,93223080,91211052,92196095,90148069,93255057,94134078,89210068,95255063,93243082,92191100,94242096,96252073,95231096,0
1,91171076,94213061,93255055,94255037,94255083,95148100,93210108,96255064,95236095,96255046,92226061,89158068,90242057,90244048,93255052,0
1,84251061,81255084,84255065,83191099,86236068,85255071,85255066,82255074,82255057,91255076,88251066,88255075,86255047,85255050,85251063,0
1,93222069,86233069,89235064,91237056,92225059,91228075,93246056,88243083,92226078,88230083,89235078,88228066,88230062,91234062,88226044,0
2,100251064,97188084,98253125,103245074,98233091,101232146,100255086,93028255,101245100,96082255,99212101,96176196,103251071,94228188,91106254,0
2,20089123,100106215,98109240,101184137,100089194,100191200,102152153,99101156,103228197,103207096,103186107,105193131,106239065,101117113,90117135,0
2,101171106,100193091,102204114,99155125,105175102,93149255,102255217,100093189,100245052,103154167,100156090,101230113,101201095,103182098,100140129,0
2,112255026,102248075,90117215,87034141,102210119,91041255,103182080,98074203,100105138,101209072,102246059,90219121,103137127,100252085,38032255,0
2,95054109,102255151,101206201,80051151,99173196,105128221,105127116,104200046,101207058,101171091,102089255,106067174,101229077,95231255,33031182,0
2,103100105,107110097,101066081,100097131,103064099,102133159,97090102,95049094,103087097,101089080,103134078,100096088,60015121,101069103,104094108,0
2,96109101,78041254,112233034,116248038,116244023,117255023,120235013,113255012,112096104,107058149,104144110,98060173,97045249,31052153,96036203,0
2,91145149,101255102,87059150,101201118,99163188,101227120,97130133,101214112,92093145,102255102,101255107,100211105,99185128,100161108,97104253,0
2,101226096,105255056,105255100,103121105,35034228,104153060,89088113,104255055,101106139,99182098,106113145,102239096,92062255,101088168,102233081,0
3,45028109,96022118,30010255,105072085,120019107,106020143,111019136,104036092,103060068,90019080,80023067,48030084,32033107,26056131,22097242,0
3,112041094,95032096,95028109,29032255,103023098,100077073,98048080,93085060,111045074,105057090,102080073,107053092,101045096,50005141,107073105,0
3,55009162,106050076,57032088,80030076,87041056,24025052,93068041,101047043,95065047,102130043,20015051,50016047,56034060,83017059,83014071,0
3,177026089,111045073,111036092,83016063,66017073,93068041,96028046,95071043,103074031,105146042,30009060,66027048,42024053,43027066,26054071,0
3,80031073,73046050,96058044,101085051,101111039,99075065,101077056,70023067,42022059,35037075,30009060,90021073,120028072,66007173,107050097,0
3,104053092,69023146,105077103,99037132,87068083,66014092,90015103,90051070,95058075,104053092,101088061,97092069,42014090,42016079,43021087,0
3,99048101,93014194,100056100,105037139,95058101,101019107,87023098,85039079,90034090,104037089,100079071,93060085,50008093,66014091,55015102,0
3,30031098,93038074,111032104,30010243,108045096,98028137,92042091,104039084,101054066,103031073,99064076,104056059,102085069,50009084,42015084,0
3,32036100,92049078,108043101,30005255,108039112,95021158,90049083,105049094,98059065,95043071,98066077,101049073,101108066,75007077,43021085,0
