0,1,2,3,4
1,96238132,96255129,96238132,94255030
1,98137132,88250103,97123131,94245049
1,96140133,88250097,97116134,96255048
1,97136174,92255116,97121171,95252100
1,93178185,90198108,95229117,92214106
1,96156118,92186093,99196091,94231096
1,99058128,92255062,96052127,91244045
1,92206084,89221076,94171091,84255062
1,91250113,90248107,90214112,85225060
2,103090071,106255057,103090071,105255057
2,90033255,10068123,84063150,102062147
2,101084203,99121124,74052054,103251118
2,103131097,100140091,106255055,105255032
2,103072252,100114155,103167250,101255134
2,100058146,99095078,105064095,101068131
2,116255020,115255023,115255023,105235063
2,102158092,103255068,102100130,101195137
2,101141170,103102147,92126127,102164152
3,90033125,98054071,20072190,29041137
3,30046187,99072067,48005255,106116125
3,50013060,105104044,103038061,106055070
3,101029071,98074038,83014075,75004131
3,95068045,87048048,50010074,80030077
3,102080073,100080070,93041069,101046094
3,95045101,98052073,55018087,101033108
3,107053134,98055070,96038067,31083145
3,99040122,92049078,101051070,31111131
