0,1,2,3,4
1,96238132,96255129,96238132,94255030
1,98137132,88250103,97123131,94245049
1,96140133,88250097,97116134,96255048
1,97136174,92255116,97121171,95252100
1,93178185,90198108,95229117,92214106
1,96156118,92186093,99196091,94231096
1,99058128,92255062,96052127,91244045
1,92206084,89221076,94171091,84255062
1,96156118,99196091,99196091,96156118
2,103090071,106255057,103090071,105255057
2,90033255,10068123,84063150,102062147
2,101084203,99121124,74052054,103251118
2,103131097,100140091,106255055,105255032
2,103072252,100114155,103167250,101255134
2,100058146,99095078,105064095,101068131
2,116255020,115255023,115255023,105235063
2,102158092,103255068,102100130,101195137
2,101141170,103102147,92126127,102164152
3,90033125,98054071,20072190,29041137
3,30046187,99072067,48005255,106116125
3,90033125,30046187,20072190,29041137
3,106116125,98054071,99072067,98054071
3,48005255,99072067,20072190,106116125
3,90033125,99072067,48005255,29041137
3,30046187,90033125,20072190,99072067
3,99072067,90033125,98054071,20072190
3,29041137,90033125,48005255,20072190
